CustomerID,Country,Annual_Income,Spending_Score,Purchase_Frequency
1,Brazil,103290,83,8
2,France,101335,65,30
3,Rwanda,119263,33,8
4,South Africa,24107,59,7
5,Canada,20993,33,13
6,Rwanda,111341,32,14
7,India,108650,59,19
8,Brazil,118325,92,11
9,Australia,67066,41,2
10,Germany,57942,12,17
11,Brazil,31138,73,6
12,South Africa,59527,11,29
13,South Africa,24190,97,9
14,Canada,107259,19,19
15,India,93422,54,5
16,France,70698,57,9
17,Canada,97315,42,30
18,Canada,108710,98,30
19,Germany,44086,71,25
20,China,32322,31,7
21,India,115814,52,30
22,UK,98569,2,4
23,Canada,100610,83,27
24,Kenya,18435,38,18
25,China,116505,32,18
26,UK,68331,10,20
27,Kenya,43942,8,17
28,India,74635,90,30
29,USA,44059,94,4
30,Kenya,72557,75,28
31,Australia,67389,20,30
32,China,68014,20,27
33,Rwanda,47826,9,22
34,Kenya,45297,72,16
35,Japan,58890,15,22
36,USA,36322,98,23
37,South Africa,50739,88,5
38,South Africa,24719,97,9
39,Australia,94553,63,2
40,Kenya,23314,91,2
41,Kenya,108831,21,4
42,Germany,90164,5,20
43,Kenya,92028,35,20
44,Brazil,51113,85,17
45,France,30357,68,20
46,Japan,113865,48,28
47,Germany,35365,80,21
48,India,54029,95,25
49,Germany,16737,90,19
50,Brazil,89632,62,3
51,India,100474,35,30
52,Japan,93218,70,5
53,Brazil,42499,97,10
54,UK,61157,21,6
55,France,71247,80,3
56,Japan,56034,39,17
57,Kenya,15294,34,10
58,UK,113072,15,24
59,Australia,39596,6,12
60,Japan,113185,66,1
61,Australia,26434,88,18
62,India,73382,56,19
63,UK,53098,49,22
64,France,19655,92,20
65,Kenya,98029,1,4
66,Kenya,61228,65,15
67,Brazil,18771,28,9
68,Kenya,89099,100,6
69,Rwanda,71799,20,12
70,Canada,77257,48,18
71,Germany,32558,72,23
72,USA,114468,65,15
73,France,73436,90,29
74,UK,107103,51,19
75,Canada,47376,43,9
76,France,102458,49,22
77,UK,92924,25,24
78,China,44332,74,13
79,China,61737,76,16
80,Australia,104031,41,13
81,France,88970,71,1
82,China,66952,64,18
83,Rwanda,35991,61,22
84,UK,42472,12,3
85,Australia,74946,81,17
86,Kenya,41849,69,22
87,UK,16541,14,5
88,Australia,17765,34,29
89,France,58074,48,25
90,Canada,117795,61,6
91,Brazil,44283,81,21
92,Kenya,116387,35,17
93,Japan,115161,65,17
94,Canada,15769,59,27
95,India,32806,36,1
96,Rwanda,105518,79,7
97,UK,17972,19,22
98,India,33256,42,30
99,Canada,118903,69,16
100,Australia,33653,19,5
101,Japan,118579,39,16
102,Kenya,101669,69,4
103,Kenya,54339,52,11
104,Kenya,40757,12,14
105,Rwanda,118376,83,29
106,Japan,57399,47,13
107,Rwanda,59013,76,27
108,Rwanda,112605,36,24
109,USA,29706,63,27
110,Japan,53231,76,8
111,Brazil,42909,82,21
112,Japan,91631,51,20
113,Canada,72572,43,15
114,USA,100879,34,18
115,Kenya,78767,97,7
116,Canada,41469,49,21
117,Canada,16313,18,19
118,South Africa,22847,61,25
119,Germany,65222,57,9
120,USA,89702,93,11
121,Canada,24930,5,27
122,Germany,18285,89,10
123,Germany,50863,24,14
124,USA,31704,93,16
125,South Africa,33705,64,27
126,India,15555,59,8
127,Australia,36323,38,1
128,Brazil,85968,33,12
129,Australia,81922,10,3
130,Japan,68915,37,2
131,Kenya,25619,97,16
132,Brazil,87390,87,4
133,Japan,74274,11,2
134,Canada,88173,24,12
135,Kenya,36225,88,27
136,UK,41739,71,24
137,USA,62708,21,17
138,Brazil,68019,20,20
139,Brazil,91154,10,21
140,Canada,117097,89,30
141,India,22373,47,10
142,Germany,50281,100,20
143,Kenya,35187,47,8
144,Canada,82863,15,18
145,China,112927,44,25
146,South Africa,99085,62,18
147,Germany,54220,6,18
148,USA,22642,66,29
149,Germany,94971,76,2
150,India,70556,4,12
151,Germany,48760,23,10
152,USA,53192,13,8
153,India,19381,81,19
154,Australia,111583,31,10
155,Brazil,34558,16,11
156,Brazil,45782,41,14
157,South Africa,19782,90,26
158,Japan,106417,92,15
159,Australia,69712,1,30
160,Australia,109945,12,24
161,Kenya,34462,56,23
162,Rwanda,75030,50,10
163,Germany,83519,20,4
164,Brazil,71411,66,7
165,USA,70206,36,11
166,France,112469,79,24
167,Rwanda,61950,38,22
168,France,17523,22,22
169,India,75926,61,3
170,Brazil,24677,50,5
171,Brazil,90828,96,26
172,Rwanda,30089,59,2
173,South Africa,19581,20,12
174,Rwanda,26907,36,21
175,France,20609,97,5
176,Rwanda,66153,15,7
177,Brazil,65539,62,4
178,South Africa,59143,3,30
179,Germany,37936,93,11
180,China,65182,91,22
181,Kenya,114524,5,9
182,UK,110042,56,4
183,Australia,28163,31,27
184,Rwanda,74758,86,30
185,Japan,61057,35,22
186,India,27537,71,29
187,China,37419,70,28
188,Kenya,57578,26,9
189,Kenya,89991,1,26
190,Kenya,89599,83,12
191,Kenya,15834,7,16
192,France,47214,36,1
193,South Africa,107934,76,8
194,Australia,115028,84,1
195,Brazil,17413,87,20
196,Kenya,24505,25,19
197,Japan,117802,94,4
198,Brazil,17105,59,14
199,USA,83104,61,23
200,USA,73408,29,29
201,Japan,52679,95,14
202,South Africa,114096,18,9
203,Japan,94731,41,9
204,France,80131,19,26
205,Rwanda,79280,4,17
206,Japan,30762,65,15
207,Germany,73703,41,10
208,Brazil,96434,15,17
209,China,78079,54,9
210,Canada,36577,64,4
211,South Africa,16214,72,28
212,Japan,101339,15,29
213,India,63114,79,14
214,USA,104234,50,3
215,Germany,78230,22,29
216,Australia,47980,18,25
217,Kenya,82194,80,21
218,Canada,92806,2,12
219,South Africa,52792,36,22
220,China,60807,20,1
221,Canada,37301,16,1
222,Japan,20141,67,13
223,France,119292,30,14
224,USA,28777,55,16
225,USA,53346,66,7
226,Australia,69703,99,10
227,France,109977,26,15
228,Kenya,62819,57,8
229,Brazil,43469,69,11
230,UK,18845,2,24
231,Germany,38290,56,14
232,USA,45699,84,13
233,India,59252,62,23
234,USA,113682,34,13
235,Canada,18293,98,27
236,USA,72089,56,9
237,South Africa,31608,55,17
238,USA,81273,20,18
239,UK,31619,50,29
240,UK,93006,25,19
241,Kenya,102908,84,13
242,China,96653,25,12
243,Brazil,29779,53,29
244,India,66040,14,21
245,USA,109830,60,20
246,USA,71325,43,20
247,Germany,36630,62,8
248,UK,27178,76,24
249,India,34935,69,11
250,Kenya,62258,63,7
251,Australia,37784,2,1
252,China,78722,54,10
253,Brazil,38027,16,15
254,France,111544,55,4
255,Brazil,72853,94,1
256,South Africa,82359,43,11
257,Canada,87388,61,30
258,South Africa,93608,38,5
259,USA,91669,45,19
260,China,30111,51,19
261,Canada,47312,42,4
262,India,39161,24,2
263,France,119823,30,7
264,UK,82313,37,28
265,China,65374,53,13
266,China,39014,63,20
267,South Africa,95308,11,21
268,USA,61389,78,12
269,Japan,33161,23,30
270,Kenya,22490,80,2
271,South Africa,39502,50,22
272,China,50757,85,9
273,Rwanda,56111,55,16
274,Germany,113273,55,8
275,France,98245,4,24
276,Kenya,73645,97,18
277,South Africa,74055,54,4
278,France,23998,61,24
279,Germany,43906,78,11
280,Australia,116026,83,17
281,Germany,85192,5,8
282,Germany,65477,100,19
283,France,51901,95,8
284,Brazil,106271,18,6
285,France,67021,44,23
286,Japan,44092,31,2
287,USA,16242,94,15
288,Canada,16831,21,1
289,Brazil,65721,47,6
290,UK,43511,30,28
